text_input,output
ข้อ 13.9 ห้ามใช้คุณสมบัติใดในโปรแกรมเพื่อตอบสนองการจำรหัสผ่าน?,ห้ามเลือกใช้คุณสมบัติที่มีหน้าที่ในการจดจำรหัสผ่านในโปรแกรมต่าง ๆ เช่น Outlook หรือ Web Browser
หากใส่รหัสผ่านผิดเกิน 10 ครั้งจะเกิดอะไรขึ้น?,บัญชีผู้ใช้งานจะถูกล็อกโดยอัตโนมัติ ต้องติดต่อแผนก IT เพื่อลดล็อก
ผู้ใช้งานต้องยินยอมให้เจ้าหน้าที่หรือตัวแทนบริษัทตรวจสอบการพิสูจน์ตัวตนโดยไม่ต้องแจ้งล่วงหน้าหรือไม่?,ใช่ ผู้ใช้งานต้องยินยอมให้ตรวจสอบโดยไม่ต้องแจ้งล่วงหน้า
การใช้งานระบบจากภายนอกผ่าน VPN ต้องใช้ User และ Password แบบใด?,ต้องใช้ User และ Password Active Directory (AD) และเก็บเป็นความลับ ห้ามใช้ร่วมกับผู้อื่น
โปรแกรม VPN Client ที่กำหนดให้ใช้คืออะไร?,กำหนดให้ใช้โปรแกรม VPN Client คือ Cisco AnyConnect และใช้งานได้เฉพาะในประเทศไทยเท่านั้น
การใช้งาน VPN กำหนดให้ 1 User ต่อกี่ Connection?,กำหนดให้ 1 User ต่อ 1 Connection เท่านั้น
เครื่องคอมพิวเตอร์ที่ต้องการใช้งาน VPN ต้องทำอย่างไรบ้าง?,ต้องได้รับอนุญาต ลงทะเบียน MAC Address กับแผนก IT และติดตั้ง Anti-Virus ก่อนใช้งาน
อุปกรณ์มือถือทุกชนิดที่ใช้ VPN ต้องลงทะเบียนอะไร?,ต้องลงทะเบียน UID (Device ID) ของ Application AnyConnect
การใช้งาน Wireless LAN สำหรับพนักงานต้องทำอะไร?,ต้องลงทะเบียน Wireless Network Interface Card (MAC Address) ของอุปกรณ์กับแผนก IT และหากเป็น Guest ต้องได้รับอนุมัติเป็นลายลักษณ์อักษรจากหน่วยงานที่เกี่ยวข้อง
หลังจากได้รับเครื่องคอมพิวเตอร์ใหม่ทดแทนเครื่องเก่า ผู้ใช้งานต้องทำอะไร?,"ต้องนำเครื่องไปยังแผนก IT เพื่อ Create User Profile Domain, Setup Email MS-Outlook, Map Drive, Printer และปรับตั้งค่าต่าง ๆ"
ผู้ใช้งานต้องตรวจสอบอะไรบ้างก่อนเซ็นรับเครื่องคอมพิวเตอร์?,ต้องตรวจสอบความถูกต้องของชื่อ ซอฟต์แวร์ที่ใช้งาน ข้อตกลงและขอบเขตการใช้งานเครื่องคอมพิวเตอร์ของบริษัทในแบบฟอร์มรับเครื่องและซอฟต์แวร์ลิขสิทธิ์
หากใช้สิทธิ์ซื้อเครื่องเก่าหมดอายุการใช้งาน ผู้ใช้งานต้องทำอะไร?,ต้องนำเครื่องมาให้ทาง IT ตรวจสอบและถอนการติดตั้งโปรแกรมลิขสิทธิ์ของบริษัทก่อนทุกครั้ง แผนก IT จะไม่เซ็นรับรองเอกสารตัดจำหน่ายทรัพย์สินหากยังไม่ตรวจสอบเครื่อง
